epoch (ms),time (01:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1747090565761,2025-05-12T22:56:05.761000,11.761,-0.39,0.1,2.33
1747090565771,2025-05-12T22:56:05.771000,11.771,-0.4,-0.06,2.23
1747090565781,2025-05-12T22:56:05.781000,11.781,-0.36,-0.2,2.35
1747090565790,2025-05-12T22:56:05.790000,11.79,-0.21,-0.37,2.44
1747090565801,2025-05-12T22:56:05.801000,11.801,0.01,-0.54,2.14
1747090565810,2025-05-12T22:56:05.810000,11.81,0.12,-0.65,2.0
1747090565820,2025-05-12T22:56:05.820000,11.82,0.03,-0.7,2.23
1747090565830,2025-05-12T22:56:05.830000,11.83,-0.2,-0.69,2.45
1747090565840,2025-05-12T22:56:05.840000,11.84,-0.29,-0.62,2.36
1747090565850,2025-05-12T22:56:05.850000,11.85,-0.15,-0.47,2.25
1747090565860,2025-05-12T22:56:05.860000,11.86,0.16,-0.3,2.2
1747090565870,2025-05-12T22:56:05.870000,11.87,0.47,-0.16,1.94
1747090565880,2025-05-12T22:56:05.880000,11.88,0.74,-0.03,1.84
1747090565890,2025-05-12T22:56:05.890000,11.89,0.99,0.07,1.88
1747090565900,2025-05-12T22:56:05.900000,11.9,1.19,0.12,2.02
1747090565910,2025-05-12T22:56:05.910000,11.91,1.26,0.12,2.19
1747090565920,2025-05-12T22:56:05.920000,11.92,1.18,0.15,2.37
1747090565930,2025-05-12T22:56:05.930000,11.93,0.97,0.11,2.53
1747090565940,2025-05-12T22:56:05.940000,11.94,0.82,0.05,2.83
1747090565950,2025-05-12T22:56:05.950000,11.95,0.72,-0.03,2.94
1747090565960,2025-05-12T22:56:05.960000,11.96,0.54,-0.09,2.79
1747090565970,2025-05-12T22:56:05.970000,11.97,0.27,-0.23,2.56
1747090565980,2025-05-12T22:56:05.980000,11.98,0.0,-0.36,2.18
1747090565989,2025-05-12T22:56:05.989000,11.989,-0.17,-0.42,1.65
1747090565999,2025-05-12T22:56:05.999000,11.999,-0.2,-0.35,1.14
1747090566009,2025-05-12T22:56:06.009000,12.009,-0.09,-0.16,0.62
1747090566019,2025-05-12T22:56:06.019000,12.019,0.17,0.14,0.26
1747090566029,2025-05-12T22:56:06.029000,12.029,0.54,0.34,0.02
1747090566039,2025-05-12T22:56:06.039000,12.039,0.82,0.29,-0.12
1747090566049,2025-05-12T22:56:06.049000,12.049,0.91,0.01,-0.11
1747090566059,2025-05-12T22:56:06.059000,12.059,0.69,-0.45,-0.2
1747090566069,2025-05-12T22:56:06.069000,12.069,0.18,-0.91,-0.25
1747090566079,2025-05-12T22:56:06.079000,12.079,-0.3,-1.12,-0.11
1747090566089,2025-05-12T22:56:06.089000,12.089,-0.41,-1.04,-0.36
1747090566099,2025-05-12T22:56:06.099000,12.099,-0.06,-0.76,-0.87
1747090566109,2025-05-12T22:56:06.109000,12.109,0.45,-0.38,-1.11
1747090566119,2025-05-12T22:56:06.119000,12.119,0.78,-0.1,-1.31
1747090566129,2025-05-12T22:56:06.129000,12.129,0.88,-0.02,-1.51
1747090566139,2025-05-12T22:56:06.139000,12.139,0.78,-0.12,-1.55
1747090566149,2025-05-12T22:56:06.149000,12.149,0.56,-0.33,-1.33
1747090566159,2025-05-12T22:56:06.159000,12.159,0.34,-0.5,-1.06
1747090566169,2025-05-12T22:56:06.169000,12.169,0.25,-0.55,-0.96
1747090566179,2025-05-12T22:56:06.179000,12.179,0.28,-0.42,-0.97
1747090566189,2025-05-12T22:56:06.189000,12.189,0.39,-0.2,-0.9
1747090566198,2025-05-12T22:56:06.198000,12.198,0.44,-0.01,-0.74
1747090566209,2025-05-12T22:56:06.209000,12.209,0.29,0.03,-0.54
1747090566218,2025-05-12T22:56:06.218000,12.218,0.03,-0.11,-0.34
1747090566228,2025-05-12T22:56:06.228000,12.228,-0.31,-0.35,-0.38
1747090566238,2025-05-12T22:56:06.238000,12.238,-0.56,-0.39,-0.53
1747090566248,2025-05-12T22:56:06.248000,12.248,-0.69,-0.13,-0.72
1747090566258,2025-05-12T22:56:06.258000,12.258,-0.66,0.27,-0.91
1747090566268,2025-05-12T22:56:06.268000,12.268,-0.56,0.67,-0.78
1747090566278,2025-05-12T22:56:06.278000,12.278,-0.44,0.95,-0.44
1747090566288,2025-05-12T22:56:06.288000,12.288,-0.4,1.02,-0.19
1747090566298,2025-05-12T22:56:06.298000,12.298,-0.5,0.87,-0.05
1747090566308,2025-05-12T22:56:06.308000,12.308,-0.72,0.59,0.07
1747090566318,2025-05-12T22:56:06.318000,12.318,-0.96,0.27,0.04
1747090566328,2025-05-12T22:56:06.328000,12.328,-1.14,0.01,-0.44
1747090566338,2025-05-12T22:56:06.338000,12.338,-1.19,-0.11,-1.08
1747090566348,2025-05-12T22:56:06.348000,12.348,-1.16,-0.12,-1.58
1747090566358,2025-05-12T22:56:06.358000,12.358,-1.04,-0.03,-2.0
1747090566368,2025-05-12T22:56:06.368000,12.368,-0.78,0.04,-2.33
1747090566378,2025-05-12T22:56:06.378000,12.378,-0.43,0.08,-2.5
1747090566387,2025-05-12T22:56:06.387000,12.387,-0.15,0.07,-2.76
1747090566397,2025-05-12T22:56:06.397000,12.397,0.05,0.09,-3.03
1747090566407,2025-05-12T22:56:06.407000,12.407,0.21,0.08,-3.04
1747090566417,2025-05-12T22:56:06.417000,12.417,0.32,0.09,-2.74
1747090566427,2025-05-12T22:56:06.427000,12.427,0.36,0.02,-2.27
1747090566437,2025-05-12T22:56:06.437000,12.437,0.33,-0.17,-1.99
1747090566447,2025-05-12T22:56:06.447000,12.447,0.21,-0.44,-2.07
1747090566457,2025-05-12T22:56:06.457000,12.457,0.15,-0.66,-2.28
1747090566467,2025-05-12T22:56:06.467000,12.467,0.16,-0.79,-2.28
1747090566477,2025-05-12T22:56:06.477000,12.477,0.2,-0.84,-2.2
1747090566487,2025-05-12T22:56:06.487000,12.487,0.15,-0.8,-2.24
1747090566497,2025-05-12T22:56:06.497000,12.497,-0.06,-0.68,-2.09
1747090566507,2025-05-12T22:56:06.507000,12.507,-0.45,-0.52,-1.92
1747090566517,2025-05-12T22:56:06.517000,12.517,-0.76,-0.32,-1.47
1747090566527,2025-05-12T22:56:06.527000,12.527,-0.87,-0.1,-0.63
1747090566537,2025-05-12T22:56:06.537000,12.537,-0.77,0.03,-1.05
1747090566547,2025-05-12T22:56:06.547000,12.547,-0.49,0.15,-1.7
1747090566557,2025-05-12T22:56:06.557000,12.557,-0.19,0.31,-1.82
1747090566567,2025-05-12T22:56:06.567000,12.567,0.02,0.39,-2.0
1747090566577,2025-05-12T22:56:06.577000,12.577,-0.02,0.28,-2.4
1747090566587,2025-05-12T22:56:06.587000,12.587,-0.02,0.2,-2.63
1747090566597,2025-05-12T22:56:06.597000,12.597,-0.0,0.21,-2.52
1747090566607,2025-05-12T22:56:06.607000,12.607,0.0,0.22,-2.17
1747090566617,2025-05-12T22:56:06.617000,12.617,-0.09,0.22,-2.08
1747090566626,2025-05-12T22:56:06.626000,12.626,-0.23,0.2,-1.99
1747090566636,2025-05-12T22:56:06.636000,12.636,-0.33,0.23,-1.81
1747090566646,2025-05-12T22:56:06.646000,12.646,-0.38,0.24,-1.63
1747090566656,2025-05-12T22:56:06.656000,12.656,-0.37,0.23,-1.41
1747090566666,2025-05-12T22:56:06.666000,12.666,-0.33,0.2,-1.25
1747090566676,2025-05-12T22:56:06.676000,12.676,-0.28,0.15,-1.17
1747090566686,2025-05-12T22:56:06.686000,12.686,-0.2,0.09,-1.04
1747090566696,2025-05-12T22:56:06.696000,12.696,-0.13,-0.01,-0.92
1747090566706,2025-05-12T22:56:06.706000,12.706,-0.02,-0.06,-0.9
1747090566716,2025-05-12T22:56:06.716000,12.716,0.04,-0.07,-0.85
1747090566726,2025-05-12T22:56:06.726000,12.726,0.08,-0.05,-0.85
1747090566736,2025-05-12T22:56:06.736000,12.736,0.1,-0.02,-0.8
1747090566746,2025-05-12T22:56:06.746000,12.746,0.1,0.02,-0.77
1747090566756,2025-05-12T22:56:06.756000,12.756,0.06,0.07,-0.81
1747090566766,2025-05-12T22:56:06.766000,12.766,0.07,0.08,-0.87
1747090566776,2025-05-12T22:56:06.776000,12.776,0.12,0.08,-0.97
1747090566786,2025-05-12T22:56:06.786000,12.786,0.15,0.08,-0.99
1747090566795,2025-05-12T22:56:06.795000,12.795,0.15,0.05,-0.91
1747090566806,2025-05-12T22:56:06.806000,12.806,0.2,-0.0,-0.95
1747090566815,2025-05-12T22:56:06.815000,12.815,0.26,-0.09,-1.03
1747090566825,2025-05-12T22:56:06.825000,12.825,0.39,-0.1,-1.01
1747090566835,2025-05-12T22:56:06.835000,12.835,0.53,-0.12,-0.89
1747090566845,2025-05-12T22:56:06.845000,12.845,0.65,-0.11,-0.78
1747090566855,2025-05-12T22:56:06.855000,12.855,0.71,-0.08,-0.61
1747090566865,2025-05-12T22:56:06.865000,12.865,0.73,-0.03,-0.59
1747090566875,2025-05-12T22:56:06.875000,12.875,0.71,0.07,-0.57
1747090566885,2025-05-12T22:56:06.885000,12.885,0.61,0.18,-0.61
1747090566895,2025-05-12T22:56:06.895000,12.895,0.47,0.25,-0.39
1747090566905,2025-05-12T22:56:06.905000,12.905,0.36,0.29,-0.15
1747090566915,2025-05-12T22:56:06.915000,12.915,0.28,0.28,-0.18
1747090566925,2025-05-12T22:56:06.925000,12.925,0.16,0.25,-0.36
1747090566935,2025-05-12T22:56:06.935000,12.935,0.07,0.17,-0.3
1747090566945,2025-05-12T22:56:06.945000,12.945,0.02,0.11,-0.19
1747090566955,2025-05-12T22:56:06.955000,12.955,-0.02,0.06,-0.27
1747090566965,2025-05-12T22:56:06.965000,12.965,-0.04,0.06,-0.33
1747090566975,2025-05-12T22:56:06.975000,12.975,-0.04,0.13,-0.29
1747090566985,2025-05-12T22:56:06.985000,12.985,-0.02,0.24,-0.22
1747090566994,2025-05-12T22:56:06.994000,12.994,-0.04,0.34,-0.06
1747090567005,2025-05-12T22:56:07.005000,13.005,-0.06,0.38,0.16
1747090567014,2025-05-12T22:56:07.014000,13.014,-0.14,0.38,0.27
1747090567024,2025-05-12T22:56:07.024000,13.024,-0.2,0.33,0.26
1747090567034,2025-05-12T22:56:07.034000,13.034,-0.25,0.25,0.12
1747090567044,2025-05-12T22:56:07.044000,13.044,-0.23,0.19,-0.02
1747090567054,2025-05-12T22:56:07.054000,13.054,-0.08,0.11,-0.1
1747090567064,2025-05-12T22:56:07.064000,13.064,0.11,0.06,-0.0
1747090567074,2025-05-12T22:56:07.074000,13.074,0.26,0.01,0.18
1747090567084,2025-05-12T22:56:07.084000,13.084,0.37,-0.04,0.11
1747090567094,2025-05-12T22:56:07.094000,13.094,0.47,-0.09,0.11
1747090567104,2025-05-12T22:56:07.104000,13.104,0.55,-0.14,0.15
1747090567114,2025-05-12T22:56:07.114000,13.114,0.54,-0.14,0.04
1747090567124,2025-05-12T22:56:07.124000,13.124,0.46,-0.14,-0.19
1747090567134,2025-05-12T22:56:07.134000,13.134,0.38,-0.11,-0.22
1747090567144,2025-05-12T22:56:07.144000,13.144,0.32,-0.13,0.09
1747090567154,2025-05-12T22:56:07.154000,13.154,0.35,-0.17,0.14
1747090567164,2025-05-12T22:56:07.164000,13.164,0.4,-0.22,-0.07
1747090567174,2025-05-12T22:56:07.174000,13.174,0.45,-0.27,-0.15
1747090567184,2025-05-12T22:56:07.184000,13.184,0.44,-0.27,-0.31
1747090567193,2025-05-12T22:56:07.193000,13.193,0.38,-0.27,-0.38
1747090567203,2025-05-12T22:56:07.203000,13.203,0.31,-0.22,-0.44
1747090567213,2025-05-12T22:56:07.213000,13.213,0.27,-0.17,-0.4
1747090567223,2025-05-12T22:56:07.223000,13.223,0.24,-0.13,-0.33
1747090567233,2025-05-12T22:56:07.233000,13.233,0.24,-0.15,-0.32
1747090567243,2025-05-12T22:56:07.243000,13.243,0.3,-0.18,-0.27
1747090567253,2025-05-12T22:56:07.253000,13.253,0.46,-0.22,-0.03
1747090567263,2025-05-12T22:56:07.263000,13.263,0.55,-0.22,0.1
1747090567273,2025-05-12T22:56:07.273000,13.273,0.65,-0.23,-0.1
1747090567283,2025-05-12T22:56:07.283000,13.283,0.74,-0.25,-0.17
1747090567293,2025-05-12T22:56:07.293000,13.293,0.78,-0.25,-0.06
1747090567303,2025-05-12T22:56:07.303000,13.303,0.85,-0.29,0.11
1747090567313,2025-05-12T22:56:07.313000,13.313,1.0,-0.4,0.48
1747090567323,2025-05-12T22:56:07.323000,13.323,1.29,-0.52,1.01
1747090567333,2025-05-12T22:56:07.333000,13.333,1.53,-0.61,1.02
1747090567343,2025-05-12T22:56:07.343000,13.343,1.56,-0.68,0.93
1747090567353,2025-05-12T22:56:07.353000,13.353,1.42,-0.6,0.33
1747090567363,2025-05-12T22:56:07.363000,13.363,1.22,-0.43,-0.07
1747090567373,2025-05-12T22:56:07.373000,13.373,0.94,-0.2,-0.09
1747090567383,2025-05-12T22:56:07.383000,13.383,0.68,0.06,-0.14
1747090567393,2025-05-12T22:56:07.393000,13.393,0.47,0.15,-0.36
1747090567402,2025-05-12T22:56:07.402000,13.402,0.26,0.15,-0.46
1747090567412,2025-05-12T22:56:07.412000,13.412,0.11,0.16,-0.39
1747090567422,2025-05-12T22:56:07.422000,13.422,0.02,0.16,-0.42
1747090567432,2025-05-12T22:56:07.432000,13.432,-0.01,0.14,-0.47
1747090567442,2025-05-12T22:56:07.442000,13.442,0.03,0.23,-0.52
1747090567452,2025-05-12T22:56:07.452000,13.452,0.14,0.31,-0.63
1747090567462,2025-05-12T22:56:07.462000,13.462,0.34,0.39,-0.78
1747090567472,2025-05-12T22:56:07.472000,13.472,0.5,0.4,-0.85
1747090567482,2025-05-12T22:56:07.482000,13.482,0.51,0.31,-0.75
1747090567492,2025-05-12T22:56:07.492000,13.492,0.41,0.17,-0.58
1747090567502,2025-05-12T22:56:07.502000,13.502,0.33,0.03,-0.47
1747090567512,2025-05-12T22:56:07.512000,13.512,0.36,-0.06,-0.47
1747090567522,2025-05-12T22:56:07.522000,13.522,0.44,-0.02,-0.57
1747090567532,2025-05-12T22:56:07.532000,13.532,0.43,0.07,-0.53
1747090567542,2025-05-12T22:56:07.542000,13.542,0.34,0.2,-0.4
1747090567552,2025-05-12T22:56:07.552000,13.552,0.27,0.32,-0.33
1747090567562,2025-05-12T22:56:07.562000,13.562,0.23,0.38,-0.31
1747090567572,2025-05-12T22:56:07.572000,13.572,0.23,0.37,-0.3
1747090567582,2025-05-12T22:56:07.582000,13.582,0.18,0.28,-0.32
1747090567592,2025-05-12T22:56:07.592000,13.592,0.1,0.14,-0.28
1747090567602,2025-05-12T22:56:07.602000,13.602,0.05,-0.03,-0.14
1747090567611,2025-05-12T22:56:07.611000,13.611,0.03,-0.14,-0.05
1747090567621,2025-05-12T22:56:07.621000,13.621,0.1,-0.24,0.03
1747090567631,2025-05-12T22:56:07.631000,13.631,0.19,-0.25,0.03
1747090567641,2025-05-12T22:56:07.641000,13.641,0.21,-0.21,0.02
1747090567651,2025-05-12T22:56:07.651000,13.651,0.09,-0.14,0.0
1747090567661,2025-05-12T22:56:07.661000,13.661,0.02,-0.09,-0.0
1747090567671,2025-05-12T22:56:07.671000,13.671,-0.02,-0.07,-0.05
1747090567681,2025-05-12T22:56:07.681000,13.681,-0.06,-0.06,-0.09
1747090567691,2025-05-12T22:56:07.691000,13.691,-0.06,-0.1,-0.08
1747090567701,2025-05-12T22:56:07.701000,13.701,-0.07,-0.15,-0.14
1747090567711,2025-05-12T22:56:07.711000,13.711,-0.07,-0.21,-0.24
1747090567721,2025-05-12T22:56:07.721000,13.721,-0.07,-0.25,-0.24
1747090567731,2025-05-12T22:56:07.731000,13.731,-0.07,-0.31,-0.13
1747090567741,2025-05-12T22:56:07.741000,13.741,-0.09,-0.34,-0.1
1747090567751,2025-05-12T22:56:07.751000,13.751,-0.12,-0.33,-0.13
1747090567761,2025-05-12T22:56:07.761000,13.761,-0.08,-0.29,-0.15
1747090567771,2025-05-12T22:56:07.771000,13.771,0.01,-0.32,-0.16
1747090567781,2025-05-12T22:56:07.781000,13.781,0.16,-0.34,-0.21
1747090567790,2025-05-12T22:56:07.790000,13.79,0.28,-0.34,-0.36
1747090567800,2025-05-12T22:56:07.800000,13.8,0.36,-0.34,-0.58
1747090567810,2025-05-12T22:56:07.810000,13.81,0.43,-0.36,-0.74
1747090567820,2025-05-12T22:56:07.820000,13.82,0.48,-0.33,-0.82
1747090567830,2025-05-12T22:56:07.830000,13.83,0.49,-0.3,-0.87
1747090567840,2025-05-12T22:56:07.840000,13.84,0.58,-0.31,-0.91
1747090567850,2025-05-12T22:56:07.850000,13.85,0.82,-0.29,-0.97
1747090567860,2025-05-12T22:56:07.860000,13.86,1.22,-0.26,-0.93
1747090567870,2025-05-12T22:56:07.870000,13.87,1.63,-0.28,-0.75
1747090567880,2025-05-12T22:56:07.880000,13.88,1.93,-0.37,-0.5
1747090567890,2025-05-12T22:56:07.890000,13.89,2.13,-0.5,-0.27
1747090567900,2025-05-12T22:56:07.900000,13.9,2.24,-0.63,-0.15
1747090567910,2025-05-12T22:56:07.910000,13.91,2.21,-0.77,-0.15
1747090567920,2025-05-12T22:56:07.920000,13.92,1.96,-0.91,-0.22
1747090567930,2025-05-12T22:56:07.930000,13.93,1.5,-0.97,-0.38
1747090567940,2025-05-12T22:56:07.940000,13.94,1.01,-0.86,-0.69
1747090567950,2025-05-12T22:56:07.950000,13.95,0.77,-0.56,-1.0
1747090567960,2025-05-12T22:56:07.960000,13.96,0.83,-0.14,-1.23
1747090567970,2025-05-12T22:56:07.970000,13.97,1.01,0.29,-1.39
1747090567979,2025-05-12T22:56:07.979000,13.979,1.09,0.6,-1.36
1747090567989,2025-05-12T22:56:07.989000,13.989,1.07,0.74,-1.04
1747090567999,2025-05-12T22:56:07.999000,13.999,0.87,0.76,-0.6
1747090568009,2025-05-12T22:56:08.009000,14.009,0.57,0.6,-0.18
1747090568019,2025-05-12T22:56:08.019000,14.019,0.27,0.31,0.22
1747090568029,2025-05-12T22:56:08.029000,14.029,0.1,-0.04,0.48
1747090568039,2025-05-12T22:56:08.039000,14.039,-0.01,-0.3,0.66
1747090568049,2025-05-12T22:56:08.049000,14.049,-0.14,-0.42,0.86
1747090568059,2025-05-12T22:56:08.059000,14.059,-0.32,-0.42,0.88
1747090568069,2025-05-12T22:56:08.069000,14.069,-0.55,-0.36,0.72
1747090568079,2025-05-12T22:56:08.079000,14.079,-0.72,-0.17,0.63
1747090568089,2025-05-12T22:56:08.089000,14.089,-0.83,0.08,0.59
1747090568099,2025-05-12T22:56:08.099000,14.099,-0.96,0.24,0.56
1747090568109,2025-05-12T22:56:08.109000,14.109,-1.11,0.3,0.52
1747090568119,2025-05-12T22:56:08.119000,14.119,-1.21,0.3,0.48
1747090568129,2025-05-12T22:56:08.129000,14.129,-1.17,0.25,0.45
1747090568139,2025-05-12T22:56:08.139000,14.139,-1.0,0.23,0.39
1747090568149,2025-05-12T22:56:08.149000,14.149,-0.66,0.28,0.32
1747090568159,2025-05-12T22:56:08.159000,14.159,-0.36,0.34,0.32
1747090568169,2025-05-12T22:56:08.169000,14.169,-0.36,0.37,0.28
1747090568179,2025-05-12T22:56:08.179000,14.179,-0.56,0.37,0.08
1747090568188,2025-05-12T22:56:08.188000,14.188,-0.77,0.3,-0.06
1747090568198,2025-05-12T22:56:08.198000,14.198,-0.89,0.3,0.21
1747090568208,2025-05-12T22:56:08.208000,14.208,-0.83,0.39,0.7
1747090568219,2025-05-12T22:56:08.219000,14.219,-0.69,0.37,1.1
1747090568228,2025-05-12T22:56:08.228000,14.228,-0.63,0.32,1.2
1747090568238,2025-05-12T22:56:08.238000,14.238,-0.78,0.33,1.06
1747090568248,2025-05-12T22:56:08.248000,14.248,-0.89,0.42,0.85
1747090568258,2025-05-12T22:56:08.258000,14.258,-0.86,0.52,0.55
1747090568268,2025-05-12T22:56:08.268000,14.268,-0.8,0.52,0.28
1747090568278,2025-05-12T22:56:08.278000,14.278,-0.77,0.46,0.17
1747090568288,2025-05-12T22:56:08.288000,14.288,-0.71,0.36,0.24
1747090568298,2025-05-12T22:56:08.298000,14.298,-0.58,0.25,0.31
1747090568308,2025-05-12T22:56:08.308000,14.308,-0.44,0.2,0.28
1747090568318,2025-05-12T22:56:08.318000,14.318,-0.34,0.21,0.21
1747090568328,2025-05-12T22:56:08.328000,14.328,-0.28,0.27,0.17
1747090568338,2025-05-12T22:56:08.338000,14.338,-0.25,0.33,0.11
1747090568348,2025-05-12T22:56:08.348000,14.348,-0.3,0.32,-0.03
1747090568358,2025-05-12T22:56:08.358000,14.358,-0.36,0.31,-0.07
1747090568368,2025-05-12T22:56:08.368000,14.368,-0.4,0.31,-0.08
1747090568378,2025-05-12T22:56:08.378000,14.378,-0.38,0.31,-0.06
1747090568387,2025-05-12T22:56:08.387000,14.387,-0.34,0.28,-0.05
1747090568397,2025-05-12T22:56:08.397000,14.397,-0.32,0.17,0.0
1747090568407,2025-05-12T22:56:08.407000,14.407,-0.34,-0.01,0.1
1747090568417,2025-05-12T22:56:08.417000,14.417,-0.38,-0.06,0.46
1747090568427,2025-05-12T22:56:08.427000,14.427,-0.24,-0.04,0.79
1747090568437,2025-05-12T22:56:08.437000,14.437,0.03,-0.1,0.8
1747090568447,2025-05-12T22:56:08.447000,14.447,0.23,-0.16,0.67
1747090568457,2025-05-12T22:56:08.457000,14.457,0.29,-0.18,0.45
1747090568467,2025-05-12T22:56:08.467000,14.467,0.27,-0.19,0.19
1747090568477,2025-05-12T22:56:08.477000,14.477,0.23,-0.19,0.01
1747090568487,2025-05-12T22:56:08.487000,14.487,0.2,-0.17,-0.11
1747090568497,2025-05-12T22:56:08.497000,14.497,0.21,-0.13,-0.15
1747090568507,2025-05-12T22:56:08.507000,14.507,0.29,-0.1,-0.13
1747090568517,2025-05-12T22:56:08.517000,14.517,0.47,-0.08,0.01
1747090568527,2025-05-12T22:56:08.527000,14.527,0.63,-0.04,0.08
1747090568537,2025-05-12T22:56:08.537000,14.537,0.66,-0.11,0.01
1747090568547,2025-05-12T22:56:08.547000,14.547,0.6,-0.17,-0.14
1747090568557,2025-05-12T22:56:08.557000,14.557,0.51,-0.21,-0.19
1747090568567,2025-05-12T22:56:08.567000,14.567,0.43,-0.2,-0.25
1747090568576,2025-05-12T22:56:08.576000,14.576,0.37,-0.2,-0.33
1747090568586,2025-05-12T22:56:08.586000,14.586,0.38,-0.22,-0.3
1747090568596,2025-05-12T22:56:08.596000,14.596,0.41,-0.21,-0.14
1747090568607,2025-05-12T22:56:08.607000,14.607,0.34,-0.21,-0.01
1747090568617,2025-05-12T22:56:08.617000,14.617,0.24,-0.25,0.28
1747090568626,2025-05-12T22:56:08.626000,14.626,0.14,0.01,0.59
1747090568636,2025-05-12T22:56:08.636000,14.636,-0.08,-0.01,0.03
1747090568646,2025-05-12T22:56:08.646000,14.646,-0.38,-0.28,-0.66
1747090568656,2025-05-12T22:56:08.656000,14.656,-0.71,-0.3,-1.11
